ideol1,ideol2
-0.382,0.284
0.526,-0.305
0.377,-0.161
0.004,-0.003
-0.222,0.196
-0.2,-0.051
0.3,-0.127
-0.335,0.016
-0.236,0.112
0.29,-0.237
-0.462,-0.239
-0.057,0.531
0.422,-0.337
0.48,-0.055
0.348,0.096
-0.207,0.526
0.233,0.057
-0.238,-0.219
-0.2,0.007
-0.0004,-0.012
-0.05,-0.631
-0.184,0.211
-0.344,0.017
0.254,-0.058
0.083,-0.473
-0.252,0.592
-0.523,-0.267
0.478,0.034
0.422,-0.045
-0.269,0.144
-0.472,-0.117
0.278,-0.37
-0.331,-0.174
0.231,-0.248
-0.227,0.105
-0.34,-0.248
-0.238,0.051
0.381,-0.558
0.473,-0.154
-0.598,-0.537
-0.236,0.021
0.2,-0.551
0.319,-0.226
-0.215,0.033
0.529,-0.181
0.289,-0.054
0.387,-0.637
0.32,-0.318
-0.388,-0.241
0.375,-0.104
0.648,0.406
-0.153,0.629
0.399,-0.006
0.333,-0.119
0.516,-0.099
-0.314,0.116
-0.022,-0.715
-0.2,0.044
-0.474,-0.272
-0.364,-0.192
-0.296,-0.318
0.522,-0.446
-0.166,0.106
-0.375,-0.079
-0.395,-0.017
-0.219,-0.13
-0.135,0.02
0.384,0.164
0.281,-0.508
0.298,-0.445
0.346,-0.028
-0.362,0.017
0.009,-0.13
0.316,-0.224
-0.356,-0.137
-0.106,0.294
-0.01,0.228
0.481,0.03
-0.376,-0.123
-0.222,0.291
0.384,-0.202
-0.301,0.196
0.322,-0.263
-0.433,-0.073
-0.344,-0.321
0.454,0.055
0.341,0.194
0.618,-0.377
0.186,-0.312
0.084,-0.531
-0.005,-0.5
-0.279,-0.092
0.179,-0.381
0.426,-0.232
0.341,-0.537
0.409,0.096
-0.235,-0.013
0.251,-0.621
0.245,-0.143
-0.642,-0.202
-0.304,-0.278
